CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
225,Female,24,71,30
226,Female,30,71,76
227,Male,45,70,36
228,Male,42,70,97
229,Male,56,74,18
230,Male,35,70,79
231,Male,48,71,10
232,Male,40,71,72
233,Female,25,76,36
234,Female,21,,70
235,Male,20,71,
236,Female,,73,89
237,Female,44,73,7
238,Male,32,76,71
239,Male,-19,74,11
240,Female,33,71,73
241,Female,55,75,50
242,Male,-32,72,90
243,Female,33,76,43
244,Female,37,76,85
245,Male,22,72,18
246,Male,24,71,93
247,Male,49,75,32
248,Female,31,72,74
249,Female,31,72,21
250,Male,34,71,92
251,Male,41,75,12
252,Male,40,79,87
253,Female,41,73,27
254,Female,31,76,74
255,Female,49,72,15
256,Female,37,79,86
257,Male,32,78,-10
258,Female,36,75,73
259,Male,24,73,13
260,Female,32,73,75
261,Female,52,72,35
262,Female,21,76,88
263,Male,12,82,52
264,Female,32,82,92
265,Male,54,84,24
266,Female,33,88,75
267,Male,62,85,26
268,Female,34,85,99
269,Female,36,82,20
270,Male,22,82,62
271,Male,47,87,73
272,Male,68,47,45
273,Male,46,77,12
274,Male,46,87,82
275,Female,42,88,33
276,Female,40,58,76
277,Male,48,85,16
278,Male,47,84,68
279,Male,52,92,13
280,Male,33,87,95
281,Female,34,97,38
282,Female,35,95,86
283,Male,43,93,16
284,Female,27,98,83
285,Female,31,49,40
286,Male,32,98,94
287,Female,52,112,22
288,Male,30,101,66
289,Female,43,103,18
290,Female,31,113,85
291,Female,31,103,29
292,Female,12,103,65
293,Male,31,113,80
294,Female,39,113,97
295,Female,57,120,12
296,Female,45,120,89
297,Female,55,126,38
298,Male,42,126,84
299,Male,33,137,19
300,Male,33,137,93
301,Female,33,97,32
302,Female,32,92,86
303,Male,41,99,11
304,Female,21,98,81
305,Female,38,49,41
306,Male,32,90,90
307,Female,62,110,32
308,Male,33,116,62
309,Female,44,108,18
310,Female,31,111,81
311,Female,31,104,30
312,Female,12,106,65
313,Male,34,115,85
314,Female,34,114,94
315,Female,53,124,13
316,Female,43,120,89
317,Female,56,124,34
318,Male,42,127,87
319,Male,33,138,20
320,Male,33,139,96
